Instance;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT
CVRP_3;693.3;719.4;707.1;702.0
p3;703.0;737.4736842105264;703.0;704.421052631579
p1;585.3684210526316;589.7894736842105;556.2105263157895;556.6315789473684
CVRP_5;977.5;1013.9;977.5;977.5
p31;527.6315789473684;527.2105263157895;527.6315789473684;527.6315789473684
CVRP_2;727.4;715.9;718.6;727.4
CVRP_100;282.5263157894737;274.8421052631579;311.3;280.63157894736844
p2;599.421052631579;595.2105263157895;567.578947368421;563.2631578947369
CVRP_4;1863.0;1854.2222222222222;955.0;1866.4444444444443
CVRP_1;1115.4705882352941;1090.0588235294117;718.9;1113.0
C1_4_1;6853.5;6705.5;6899.0;6662.0
C1_2_7;2378.9411764705883;2276.705882352941;2532.0;2290.823529411765
C1_4_10;6904.588235294118;6771.294117647059;7007.0;6823.058823529412
C1_4_2;7099.882352941177;7156.588235294118;7516.0;7125.411764705882
C1_4_9;6854.058823529412;6910.117647058823;7208.0;6961.294117647059
C1_2_5;2559.1;2498.0;2732.0;2452.0
C1_2_4;2488.0;2311.0;2637.0;2301.5
C1_2_8;2589.5;2329.5;2793.0;2482.5
C1_4_5;7035.235294117647;6934.235294117647;7463.0;6957.764705882353
C1_6_1;13563.1;13178.1;14305.1;13189.8
C1_2_3;2587.25;2473.25;2603.0;2573.25
C1_6_3;13922.55;13710.05;15099.4;13506.45
C1_2_10;2490.375;2447.0;2430.0;2444.5
C1_2_9;2399.125;2521.375;2427.0;2549.5
C1_2_6;2399.0;2382.0;2674.0;2292.0
C1_4_6;7225.875;7199.75;7663.0;7312.25
C1_4_4;6808.05;6812.95;7037.0;6703.85
C1_2_2;2524.125;2427.0;2628.0;2471.375
C1_6_5;14029.875;13844.125;14743.9;13781.5
C1_2_1;2706.0;2421.5;3032.0;2335.5
C1_4_3;6877.75;6965.375;7642.0;7120.375
C1_6_2;14131.55;13592.35;15271.6;13683.9
C1_4_7;7029.625;7003.5;7374.0;7151.0
C1_6_4;13460.4375;13257.375;13896.8;13240.5
C1_4_8;7087.333333333333;7168.666666666667;7419.0;7132.0
p6;702.0;702.0;702.0;702.0
p19;1417.0;1372.0;1417.0;1479.0
p5;647.0;624.0;647.0;606.0
p15;856.0;842.0;856.0;856.0
HFVRP_4;3638.0;2786.75;44770.0;2834.0
HFVRP_p14;8221.25;8631.25;88400.0;8660.0
CVRP_p5;3447.0;3353.0;35090.0;3390.0
CVRP_p3;3050.0;3056.714285714286;31290.0;3092.0
HFVRP_1;2430.0;2406.5;31350.0;2415.0
CVRP_p14;7700.0;7862.5;84600.0;7960.0
HFVRP_p3;2997.0;2980.0;30670.0;2996.0
HFVRP_p5;1348.0;1326.375;14250.0;1370.0
att48;30867.6;30238.2;30434.0;30182.0
pr76;100206.45454545454;97599.6;99890.0;99803.6
st70;631.8181818181819;609.5454545454545;618.0;642.9090909090909
rd100;7277.636363636364;7264.181818181818;7472.0;7291.454545454545
dsj1000;18028830.181818184;18174774.636363637;18658430.333333332;18135046.09090909
u724;41154.9;40144.09090909091;41694.5;39901.818181818184
ch150;5976.909090909091;5899.166666666667;5927.0;6078.75
d657;46346.63636363636;46078.818181818184;48992.0;45993.90909090909
pr107;44466.666666666664;41711.11111111111;41800.0;41977.77777777778
ulysses22;57.0;57.0;57.0;57.888888888888886
pr124;56140.125;55245.75;55392.0;56546.125
d493;32488.777777777777;32419.75;32834.0;32505.222222222223
ulysses16;59.0;59.0;59.0;59.0
