Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH
CVRP_3;707.1;707.1;707.1;707.1;707.1
p3;909.1111111111111;905.2222222222222;910.0;895.2222222222222;904.4444444444445
p1;697.5555555555555;697.5555555555555;697.5555555555555;697.5555555555555;697.5555555555555
CVRP_5;977.5;977.5;977.5;977.5;977.5
p31;599.4444444444445;599.4444444444445;599.4444444444445;599.4444444444445;599.4444444444445
CVRP_2;718.6;718.6;718.6;718.6;718.6
CVRP_100;311.3;311.3;311.3;311.3;311.3
p2;722.0;721.5555555555555;721.5555555555555;722.0;722.0
CVRP_4;955.0;955.0;955.0;955.0;955.0
CVRP_1;718.9;718.9;718.9;718.9;718.9
