Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
C1_2_5;3738.0;3926.0;3896.0;3926.0;3738.0;3894.0;3738.0;3926.0;3926.0;3738.0;3738.0;3926.0;3926.0;3926.0;3738.0
C1_4_3;9180.0;9150.0;9146.0;9154.0;9146.0;9116.0;9146.0;9112.0;9112.0;9122.0;9122.0;9150.0;9154.0;9150.0;9180.0
HFVRP_1;3698.0;3676.0;3698.0;3676.0;3698.0;3702.0;3698.0;3676.0;3698.0;3698.0;3698.0;3676.0;3698.0;3698.0;3698.0
C1_4_2;9180.0;9150.0;9146.0;9154.0;9146.0;9116.0;9146.0;9112.0;9112.0;9122.0;9122.0;9150.0;9154.0;9150.0;9180.0
C1_2_3;3738.0;3926.0;3896.0;3926.0;3738.0;3894.0;3738.0;3926.0;3926.0;3738.0;3738.0;3926.0;3926.0;3926.0;3738.0
C1_4_6;9180.0;9150.0;9146.0;9154.0;9146.0;9116.0;9146.0;9112.0;9112.0;9122.0;9122.0;9150.0;9154.0;9150.0;9180.0
C1_4_8;9180.0;9150.0;9146.0;9154.0;9146.0;9116.0;9146.0;9112.0;9112.0;9122.0;9122.0;9150.0;9154.0;9150.0;9180.0
C1_2_10;3738.0;3926.0;3896.0;3926.0;3738.0;3894.0;3738.0;3926.0;3926.0;3738.0;3738.0;3926.0;3926.0;3926.0;3738.0
C1_2_4;3738.0;3926.0;3896.0;3926.0;3738.0;3894.0;3738.0;3926.0;3926.0;3738.0;3738.0;3926.0;3926.0;3926.0;3738.0
C1_6_1;18860.0;18884.0;18948.0;18884.0;18860.0;18940.0;18860.0;18884.0;18884.0;18860.0;18860.0;18884.0;18884.0;18884.0;18860.0
CVRP_p14;12580.0;12680.0;12580.0;12680.0;12580.0;13180.0;12580.0;12680.0;12700.0;12580.0;12580.0;12680.0;12700.0;12700.0;12580.0
C1_2_8;3738.0;3926.0;3896.0;3926.0;3738.0;3894.0;3738.0;3926.0;3926.0;3738.0;3738.0;3926.0;3926.0;3926.0;3738.0
C1_2_9;3738.0;3926.0;3896.0;3926.0;3738.0;3894.0;3738.0;3926.0;3926.0;3738.0;3738.0;3926.0;3926.0;3926.0;3738.0
C1_2_2;3738.0;3926.0;3896.0;3926.0;3738.0;3894.0;3738.0;3926.0;3926.0;3738.0;3738.0;3926.0;3926.0;3926.0;3738.0
CVRP_1;3010.0;2988.0;3010.0;2988.0;3010.0;2988.0;3010.0;2988.0;2988.0;3010.0;3010.0;2988.0;2988.0;2988.0;3010.0
HFVRP_p3;5656.0;5656.0;5656.0;5656.0;5656.0;5614.0;5656.0;5656.0;5656.0;5656.0;5656.0;5656.0;5656.0;5656.0;5656.0
C1_4_5;9180.0;9150.0;9146.0;9154.0;9146.0;9116.0;9146.0;9112.0;9112.0;9122.0;9122.0;9150.0;9154.0;9150.0;9180.0
HFVRP_p5;1938.0;2008.0;1938.0;2008.0;1938.0;1986.0;1938.0;2008.0;2008.0;1938.0;1938.0;2008.0;2008.0;2008.0;1938.0
